run10cm_volt,run20cm_volt,run30cm_volt,run40cm_volt,run50cm_volt
-0.024,-0.027,-0.028,-0.031,-0.032
-0.02,-0.017,-0.022,-0.026,-0.027
-0.011,-0.01,-0.017,-0.02,-0.019
-0.006,-0.008,-0.014,-0.015,-0.016
-0.003,-0.003,-0.009,-0.013,-0.012
0.001,-0.002,-0.008,-0.01,-0.011
0.006,0.004,-0.007,-0.011,-0.009
0.005,0.002,-0.002,-0.006,-0.013
0.008,0.007,0,-0.006,-0.007
0.013,0.007,-0.001,-0.003,-0.009
0.012,0.009,0.001,-0.002,-0.007
0.012,0.012,0.002,0.001,-0.005
0.018,0.007,0.003,0,-0.004
0.017,0.014,0.004,0.002,-0.001
0.016,0.015,0.008,0.003,-0.001
0.02,0.015,0.011,0,0
0.02,0.014,0.013,0.003,0
0.022,0.019,0.01,0.007,0.004
0.024,0.019,0.011,0.008,0.011
0.024,0.017,0.012,0.009,0.006
0.025,0.024,0.014,0.006,0.009
0.025,0.024,0.016,0.014,0.006
0.026,0.022,0.015,0.014,0.007
0.026,0.022,0.02,0.013,0.011
0.024,0.028,0.022,0.014,0.01
0.03,0.026,0.022,0.012,0.013
0.028,0.027,0.021,0.015,0.011
0.029,0.027,0.028,0.018,0.014
0.031,0.027,0.024,0.019,0.013
0.028,0.026,0.026,0.021,0.011
0.028,0.025,0.025,0.019,0.015
0.028,0.027,0.027,0.017,0.015
0.03,0.027,0.025,0.022,0.016
0.029,0.029,0.027,0.025,0.019
0.03,0.027,0.026,0.019,0.017
0.03,0.028,0.025,0.023,0.018
0.029,0.028,0.026,0.025,0.019
0.029,0.028,0.026,0.023,0.019
0.03,0.028,0.027,0.025,0.018
0.03,0.03,0.029,0.027,0.019
0.031,0.03,0.027,0.027,0.021
0.03,0.03,0.03,0.025,0.022
0.031,0.029,0.026,0.025,0.024
0.03,0.03,0.029,0.026,0.022
0.03,0.03,0.027,0.028,0.023
0.031,0.03,0.029,0.027,0.025
0.03,0.03,0.029,0.026,0.026
0.03,0.029,0.028,0.026,0.025
0.031,0.03,0.028,0.027,0.026
,0.031,0.03,0.027,0.026
,0.03,0.028,0.029,0.029
,0.031,0.028,0.027,0.026
,0.03,0.029,0.03,0.026
,0.03,0.029,0.028,0.026
,0.03,0.029,0.03,0.028
,0.03,0.032,0.028,0.03
,0.03,0.031,0.03,0.028
,0.03,0.03,0.03,0.028
,0.029,0.03,0.029,0.03
,0.032,0.029,0.028,0.029
,0.03,0.031,0.029,0.029
,0.03,0.029,0.03,0.028
,0.03,0.03,0.031,0.029
,0.03,0.029,0.027,0.028
,0.029,0.03,0.028,0.028
,0.029,0.03,0.031,0.026
,0.031,0.03,0.027,0.026
,0.031,0.029,0.029,0.028
,0.031,0.029,0.03,0.03
,0.031,0.029,0.03,0.031
,0.031,0.029,0.029,0.03
,0.03,0.031,0.031,0.03
,,0.03,0.03,0.029
,,0.03,0.029,0.028
,,0.03,0.03,0.028
,,0.029,0.029,0.031
,,0.031,0.029,0.029
,,0.03,0.028,0.03
,,0.03,0.029,0.03
,,0.03,0.029,0.029
,,0.031,0.03,0.029
,,0.03,0.03,0.03
,,0.03,0.03,0.03
,,0.03,0.03,0.03
,,,0.03,0.029
,,,0.03,0.03
,,,0.03,0.029
,,,0.03,0.029
,,,0.03,0.03
,,,0.031,0.031
,,,0.03,0.03
,,,0.03,0.032
,,,0.03,0.029
,,,0.03,0.029
,,,0.029,0.03
,,,0.029,0.03
,,,0.03,0.03
,,,0.031,0.03
,,,0.027,0.029
,,,0.03,0.029
,,,0.031,0.029
,,,0.029,0.03
,,,0.03,0.032
,,,0.031,0.03
,,,0.031,0.031
,,,0.03,0.029
,,,0.03,0.03
,,,0.03,0.031
,,,0.03,
,,,0.03,
,,,0.029,
